GCF_030409845.1	Flavobacterium branchiarum
GCF_042652705.1	Flavobacterium branchiicola
GCF_000253275.1	Flavobacterium branchiophilum FL-15
GCF_038070285.1	Flavobacterium buctense
GCF_900101895.1	Flavobacterium caeni
GCF_038290035.1	Flavobacterium calami
GCF_032098525.1	Flavobacterium capsici
GCF_004349085.1	Flavobacterium caseinilyticum
GCF_000498475.1	Flavobacterium cauense R2A-7
GCF_011392075.1	Flavobacterium celericrescens
GCF_004349355.1	Flavobacterium cellulosilyticum
GCF_004028155.1	Flavobacterium cerinum
GCF_021172165.1	Flavobacterium channae
GCF_007830415.1	Flavobacterium cheniae
GCF_039539185.1	Flavobacterium cheonanense
GCF_003202435.1	Flavobacterium cheongpyeongense
GCF_035671315.1	Flavobacterium cheonhonense
GCF_900142685.1	Flavobacterium chilense
GCF_042686145.1	Flavobacterium chuncheonense
GCF_000735715.2	Flavobacterium chungangense LMG 26729
GCF_042654045.1	Flavobacterium chungangensis
GCF_020805785.1	Flavobacterium chungbukense
GCF_039539165.1	Flavobacterium chungnamense
GCF_004345565.1	Flavobacterium circumlabens
GCF_946903285.1	Flavobacterium collinsii
GCF_014844295.1	Flavobacterium columnare
GCF_001857965.1	Flavobacterium commune
GCF_019891545.1	Flavobacterium coralii
GCF_001534645.1	Flavobacterium covae
GCF_001831475.1	Flavobacterium crassostreae
GCF_002917885.1	Flavobacterium croceum DSM 17960
GCF_003122385.1	Flavobacterium crocinum
GCF_048158645.1	Flavobacterium cryoconiti
GCF_900148835.1	Flavobacterium cucumis
GCF_003996965.1	Flavobacterium cupreum
GCF_020911925.1	Flavobacterium cupriresistens
GCF_003385895.1	Flavobacterium cutihirudinis
GCF_002251835.1	Flavobacterium cyanobacteriorum
GCF_021172145.1	Flavobacterium cyclinae
GCF_000425425.1	Flavobacterium daejeonense DSM 17708
GCF_007341385.1	Flavobacterium daemonense
GCF_004362665.1	Flavobacterium dankookense
GCF_004151275.2	Flavobacterium dauae
GCF_042182265.1	Flavobacterium davisii
