GCF_002020805.1	Solemya velesiana gill symbiont
GCF_002020255.1	Solemya velum gill symbiont
GCF_050272495.1	Solibacillus cecembensis
GCF_028747805.1	Solibacillus daqui
GCF_014836905.1	Solibacillus faecavium
GCF_037027585.1	Solibacillus ferritrahens
GCF_000298255.1	Solibacillus isronensis B3W22
GCF_002174535.1	Solibacillus kalamii
GCF_014836935.1	Solibacillus merdavium
GCF_022549215.1	Solibacillus palustris
GCF_040096205.1	Solibaculum intestinale
GCF_015140235.1	Solibaculum mannosilyticum
GCF_025790165.1	Solicola gregarius
GCF_009856865.1	Solidesulfovibrio aerotolerans
GCF_000702665.1	Solidesulfovibrio alcoholivorans DSM 5433
GCF_004135975.1	Solidesulfovibrio carbinolicus
GCF_000177215.2	Solidesulfovibrio carbinoliphilus subsp. oakridgensis
GCF_000179555.1	Solidesulfovibrio fructosivorans JJ
GCF_000010665.1	Solidesulfovibrio magneticus RS-1
GCF_008386585.1	Solihabitans fulvus
GCF_003293695.1	Solilutibacter oculi
GCF_003697345.1	Solilutibacter pythonis
GCF_002895945.1	Solilutibacter silvestris
GCF_900155935.1	Solilutibacter tolerans
GCF_002976435.1	Solimicrobium silvestre
GCF_900111015.1	Solimonas aquatica
GCF_000426685.1	Solimonas flava DSM 18980
GCF_002930645.1	Solimonas fluminis
GCF_012241385.1	Solimonas marina
GCF_000474945.1	Solimonas soli DSM 21787
GCF_011067135.1	Solimonas terrae
GCF_000382285.1	Solimonas variicoloris DSM 15731
GCF_004010155.1	Solirhodobacter olei
GCF_027587175.1	Solirubrobacter deserti
GCF_027587205.1	Solirubrobacter ginsenosidimutans
GCF_003633755.1	Solirubrobacter pauli
GCF_027587195.1	Solirubrobacter phytolaccae
GCF_000423665.1	Solirubrobacter soli DSM 22325
GCF_001483135.1	Solirubrum puertoriconensis
GCF_023914155.1	Solitalea agri
GCF_000242635.2	Solitalea canadensis DSM 3403
GCF_900182575.1	Solitalea koreensis
GCF_022014595.1	Solitalea lacus
GCF_002920915.1	Solitalea longa
GCF_036323475.1	Solobacterium moorei
GCF_900167905.1	Soonwooa buanensis
GCF_028368935.1	Sorangium atrum
GCF_000067165.1	Sorangium cellulosum So ce56
GCF_036452135.1	Sorlinia euscelidii
GCF_026309355.1	Spartinivicinus marinus
GCF_028858535.1	Spartinivicinus poritis
GCF_011009015.1	Spartinivicinus ruber
