GCF_018866225.1	Candidatus Minimicrobia naudis
GCF_018866205.1	Candidatus Minimicrobia vallesae
GCF_000364725.1	Candidatus Moranella endobia PCVAL
GCF_023515995.1	Candidatus Mycobacterium methanotrophicum
GCF_030252325.1	Candidatus Mycobacterium wuenschmannii
GCF_022760805.1	Candidatus Mycolicibacterium alkanivorans
GCF_001645765.1	Candidatus Mycoplasma haematobovis
GCF_902712995.1	Candidatus Mycoplasma haematohominis
GCF_000319365.1	Candidatus Mycoplasma haematominutum Birmingham 1
GCF_030550815.1	Candidatus Mycoplasma mahonii
GCF_054170725.1	Candidatus Mycoplasma pogonae
GCF_025273655.1	Candidatus Mycosynbacter amalyticus
GCF_004151455.1	Candidatus Nanogingivalis gingivitcus
GCF_002288305.1	Candidatus Nanopelagicus abundans
GCF_002288005.1	Candidatus Nanopelagicus hibericus
GCF_002287885.2	Candidatus Nanopelagicus limnae
GCF_004138445.1	Candidatus Nanoperiomorbus periodonticus
GCF_005697565.1	Candidatus Nanosynbacter featherlites
GCF_000803625.1	Candidatus Nanosynbacter lyticus
GCF_004138395.1	Candidatus Nanosyncoccus alces
GCF_004138405.1	Candidatus Nanosyncoccus nanoralicus
GCF_024820135.1	Candidatus Nasuia deltocephalincola
GCF_000964795.1	Candidatus Neoehrlichia procyonis str. RAC413
GCF_000455525.1	Candidatus Neomicrothrix parvicella RN1
GCF_015356785.1	Candidatus Neptunichlamydia vexilliferae
GCF_960610765.1	Candidatus Nesciobacter abundans
GCF_032191465.1	Candidatus Nitronereus thalassa
GCF_902810445.1	Candidatus Nitrosacidococcus tergens
GCF_002356115.1	Candidatus Nitrosoglobus terrae
GCF_032050975.1	Candidatus Nitrospira allomarina
GCF_965152565.1	Candidatus Nitrospira bockiana
GCF_001458695.1	Candidatus Nitrospira inopinata
GCF_032051675.1	Candidatus Nitrospira neomarina
GCF_001458775.1	Candidatus Nitrospira nitrificans
GCF_001458735.1	Candidatus Nitrospira nitrosa
GCF_965152625.1	Candidatus Nitrospira salsa
GCF_918378365.1	Candidatus Nitrotoga arctica
GCF_905221025.1	Candidatus Nitrotoga fabula
GCF_002117145.1	Candidatus Nucleicultrix amoebiphila FS5
GCF_000742835.1	Candidatus Odyssella acanthamoebae
GCF_000190415.1	Candidatus Odyssella thessalonicensis L13
GCF_951229915.1	Candidatus Ornithobacterium hominis
GCF_004138135.1	Candidatus Oscillochloris fontis
GCF_000754265.1	Candidatus Palibaumannia cicadellinicola
GCF_003004665.1	Candidatus Pandoraea novymonadis
GCF_018842675.1	Candidatus Pantoea bituminis
GCF_000971765.1	Candidatus Pantoea carbekii
GCF_011752685.1	Candidatus Pantoea communis
GCF_003813865.1	Candidatus Pantoea deserta
GCF_002933345.1	Candidatus Pantoea edessiphila
GCF_900215435.1	Candidatus Pantoea floridensis
