GCF_001866645.1	Streptomyces colonosanans
GCF_012034205.1	Streptomyces composti
GCF_019104725.1	Streptomyces corallincola
GCF_001514055.1	Streptomyces corchorusii
GCF_913919575.1	Streptomyces coriariae
GCF_011044975.1	Streptomyces coryli
GCF_003346515.1	Streptomyces corynorhini
GCF_039535435.1	Streptomyces cremeus
GCF_039521265.1	Streptomyces crystallinus
GCF_024295805.1	Streptomyces cucumeris
GCF_014257025.1	Streptomyces cupreus
GCF_001513975.1	Streptomyces curacoi
GCF_039532705.1	Streptomyces cuspidosporus
GCF_003963535.1	Streptomyces cyaneochromogenes
GCF_033109485.1	Streptomyces cyaneofuscatus
GCF_004028635.1	Streptomyces cyaneus
GCF_017526105.1	Streptomyces cyanogenus
GCF_022698165.1	Streptomyces cylindrosporus
GCF_025642135.1	Streptomyces cynarae
GCF_052663305.1	Streptomyces cyslabdanicus
GCF_020521275.1	Streptomyces daghestanicus
GCF_054782395.1	Streptomyces daliensis
GCF_003675325.1	Streptomyces dangxiongensis
GCF_014645895.1	Streptomyces daqingensis
GCF_000349325.1	Streptomyces davaonensis JCM 4913
GCF_022385335.1	Streptomyces deccanensis
GCF_045208505.1	Streptomyces decoyicus
GCF_030803745.1	Streptomyces demainii
GCF_002946835.1	Streptomyces dengpaensis
GCF_042681365.1	Streptomyces desertarenae
GCF_054782695.1	Streptomyces deserti
GCF_003323715.1	Streptomyces diacarni
GCF_014648935.1	Streptomyces diastaticus subsp. diastaticus
GCF_002242805.1	Streptomyces diastatochromogenes
GCF_003024195.1	Streptomyces dioscori
GCF_014651075.1	Streptomyces djakartensis
GCF_031845645.1	Streptomyces doebereineriae
GCF_031845505.1	Streptomyces doudnae
GCF_039534625.1	Streptomyces drozdowiczii
GCF_031845545.1	Streptomyces dubilierae
GCF_014156695.1	Streptomyces durbertensis
GCF_000725475.1	Streptomyces durhamensis
GCF_023498005.1	Streptomyces durmitorensis
GCF_016901035.1	Streptomyces durocortorensis
GCF_001514305.1	Streptomyces dysideae
GCF_014203595.1	Streptomyces echinatus
GCF_049239225.1	Streptomyces echiniscabiei
GCF_014651135.1	Streptomyces echinoruber
GCF_031845685.1	Streptomyces edwardsiae
GCF_042654145.1	Streptomyces ehimensis
GCF_016741935.1	Streptomyces endocoffeicus
GCF_026153355.1	Streptomyces endophytica
GCF_035798155.1	Streptomyces endophyticus
GCF_039533765.1	Streptomyces enissocaesilis
GCF_036170895.1	Streptomyces erythrochromogenes
GCF_039534285.1	Streptomyces erythrogriseus
GCF_002891295.1	Streptomyces eurocidicus
GCF_036346855.1	Streptomyces europaeiscabiei
GCF_014649115.1	Streptomyces eurythermus
GCF_031845585.1	Streptomyces evansiae
GCF_000725545.1	Streptomyces exfoliatus
GCF_025665295.1	Streptomyces explomaris
GCF_009498275.1	Streptomyces fagopyri
GCF_015160855.1	Streptomyces ferrugineus
GCF_009739905.1	Streptomyces ficellus
GCF_008634015.1	Streptomyces filamentosus
GCF_042652185.1	Streptomyces fildesensis
GCF_014649495.1	Streptomyces filipinensis
GCF_039533005.1	Streptomyces fimbriatus
GCF_014650515.1	Streptomyces finlayi
GCF_042674625.1	Streptomyces flavalbus
GCF_044765825.1	Streptomyces flaveolus
GCF_014647675.1	Streptomyces flaveus
GCF_000429085.1	Streptomyces flavidovirens DSM 40150
GCF_000717595.1	Streptomyces flavochromogenes
GCF_014650815.1	Streptomyces flavofungini
GCF_020639365.1	Streptomyces flavotricini
GCF_000725785.1	Streptomyces flavovariabilis
GCF_042651015.1	Streptomyces flavovirens
GCF_046267975.1	Streptomyces flavusporus
GCF_001735805.1	Streptomyces fodineus
GCF_022647665.1	Streptomyces formicae
GCF_049844455.1	Streptomyces fractus
GCF_008704425.1	Streptomyces fradiae ATCC 10745 = DSM 40063
GCF_003112515.1	Streptomyces fragilis
GCF_014651055.1	Streptomyces fructofermentans
GCF_013409565.1	Streptomyces fulvorobeus
GCF_000718165.1	Streptomyces fulvoviolaceus
GCF_014655295.1	Streptomyces fumanus
GCF_003665435.1	Streptomyces fungicidicus
GCF_014645815.1	Streptomyces fuscichromogenes
GCF_021556455.1	Streptomyces fuscigenes
GCF_030262575.1	Streptomyces fuscus
GCF_005280195.1	Streptomyces galbus
GCF_014650835.1	Streptomyces galilaeus
GCF_042656465.1	Streptomyces gamaensis
GCF_015710995.1	Streptomyces gardneri
GCF_014649535.1	Streptomyces gelaticus
