GCF_019218285.1	Mameliella sediminis
GCF_002018435.1	Mammaliicoccus fleurettii
GCF_947036595.1	Mammaliicoccus lentus
GCF_900474615.1	Mammaliicoccus sciuri
GCF_900187075.1	Mammaliicoccus stepanovicii
GCF_016725245.1	Mammaliicoccus vitulinus
GCF_002075885.1	Manganibacter manganicus
GCF_001879105.1	Mangrovactinospora gilvigrisea
GCF_015482585.1	Mangrovibacillus cuniculi
GCF_040429585.1	Mangrovibacter phragmitis
GCF_003182475.1	Mangrovibacter plantisponsor
GCF_020523985.1	Mangrovibacter yixingensis
GCF_003610535.1	Mangrovibacterium diazotrophicum
GCF_010882175.1	Mangrovibacterium lignilyticum
GCF_003046625.1	Mangrovibacterium marinum
GCF_024519155.1	Mangrovibrevibacter kandeliae
GCF_002893625.1	Mangrovicella endophytica
GCF_014903745.1	Mangrovicoccus algicola
GCF_003056725.1	Mangrovicoccus ximenensis
GCF_014646155.1	Mangrovihabitans endophyticus
GCF_004745945.1	Mangrovimicrobium sediminis
GCF_028767185.1	Mangrovimonas aestuarii
GCF_037126215.1	Mangrovimonas cancribranchiae
GCF_021245805.1	Mangrovimonas futianensis
GCF_003944795.1	Mangrovimonas spongiae
GCF_001280435.1	Mangrovimonas xylaniphaga
GCF_014636995.1	Mangrovimonas yunxiaonensis
GCF_002514725.1	Mangrovitalea sediminis
GCF_005166025.1	Mangrovivirga cuniculi
GCF_026241165.1	Mangrovivirga halotolerans
GCF_014541205.1	Mannheimia bovis
GCF_028649535.1	Mannheimia cairinae
GCF_046267875.1	Mannheimia glucosida
GCF_000621105.1	Mannheimia granulomatis DSM 19156
GCF_002285575.1	Mannheimia haemolytica
GCF_036880405.1	Mannheimia indoligenes
GCF_000940515.1	Mannheimia massilioguelmaensis
GCF_013377995.1	Mannheimia pernigra
GCF_013377235.1	Mannheimia varigena
GCF_900186535.1	Marasmitruncus massiliensis
GCF_027474845.2	Maribacter aestuarii
GCF_005885635.1	Maribacter algarum
GCF_003933245.1	Maribacter algicola
GCF_000621125.1	Maribacter antarcticus DSM 21422
GCF_014596745.1	Maribacter aquimaris
GCF_900142175.1	Maribacter aquivivus
GCF_900167935.1	Maribacter arcticus
GCF_014610845.1	Maribacter arenosus
GCF_005780245.1	Maribacter aurantiacus
GCF_004364175.1	Maribacter caenipelagi
GCF_042676845.1	Maribacter chungangensis
GCF_002269385.1	Maribacter cobaltidurans
GCF_030505015.1	Maribacter confluentis
GCF_900105105.1	Maribacter dokdonensis
GCF_008386635.1	Maribacter flavus
GCF_000744105.1	Maribacter forsetii DSM 18668
GCF_027474825.1	Maribacter halichondriae
GCF_029350945.1	Maribacter huludaoensis
GCF_001913155.1	Maribacter hydrothermalis
GCF_025244665.1	Maribacter litopenaei
GCF_902506355.1	Maribacter litoralis
GCF_009674825.1	Maribacter luteus
GCF_900109345.1	Maribacter orientalis
GCF_028882255.1	Maribacter polysaccharolyticus
GCF_003148665.1	Maribacter polysiphoniae
GCF_900188415.1	Maribacter sedimenticola
GCF_004364165.1	Maribacter spongiicola
GCF_900112245.1	Maribacter stanieri
GCF_001020565.1	Maribacter thermophilus
GCF_900155985.1	Maribacter ulvicola
GCF_003634105.1	Maribacter vaceletii
GCF_029350975.1	Maribacter zhoushanensis
GCF_009762775.1	Maribellus comscasis
GCF_003576475.1	Maribellus luteus
GCF_037646455.1	Maribellus mangrovi
GCF_022267315.1	Maribellus maritimus
GCF_011799805.1	Maribellus sediminis
GCF_006385675.1	Maribrevibacterium harenarium
GCF_005871165.1	Maricaulis alexandrii
GCF_003634045.1	Maricaulis maris
GCF_016817355.1	Maricaulis parjimensis
GCF_900103475.1	Maricaulis salignorans
GCF_027922185.1	Maricaulis virginensis
GCF_012276755.1	Marichromatium bheemlicum
GCF_004343155.1	Marichromatium gracile
GCF_000224005.2	Marichromatium purpuratum 984
GCF_042854845.1	Maricurvus nonylphenolicus
GCF_000429985.1	Maridesulfovibrio bastinii DSM 16055
GCF_900101105.1	Maridesulfovibrio ferrireducens
GCF_000711735.1	Maridesulfovibrio frigidus DSM 17176
GCF_000331025.1	Maridesulfovibrio hydrothermalis AM13 = DSM 14728
GCF_000023445.1	Maridesulfovibrio salexigens DSM 2638
GCF_000425265.1	Maridesulfovibrio zosterae DSM 11974
GCF_007828725.1	Marihabitans asiaticum
GCF_006546775.1	Marilutibacter aestuarii
GCF_006547045.1	Marilutibacter alkalisoli
GCF_021725675.1	Marilutibacter chinensis
GCF_003233695.1	Marilutibacter maris
GCF_014145395.1	Marilutibacter penaei
GCF_014145325.1	Marilutibacter spongiae
GCF_021611515.1	Mariluticola halotolerans
GCF_030848945.1	Marimonas arenosa
GCF_005434965.1	Marimonas lutisalis
GCF_042664915.1	Marinactinospora rubrisoli
GCF_900167435.1	Marinactinospora thermotolerans DSM 45154
GCF_001292705.1	Marinagarivorans algicola
GCF_021655555.1	Marinagarivorans cellulosilyticus
GCF_002210095.1	Marinibacterium profundimaris
GCF_030160855.1	Marinibactrum halimedae
GCF_042646425.1	Marinibaculum pumilum
GCF_008087665.1	Mariniblastus fucicola
GCF_017161425.1	Marinicauda algicola
GCF_009806145.1	Marinicauda pacifica
GCF_003122085.1	Marinicauda salina
GCF_026410405.1	Marinicella gelatinilytica
GCF_004363335.1	Marinicella litoralis
GCF_030065545.1	Marinicella marina
GCF_019931145.1	Marinicella meishanensis
GCF_014636635.1	Marinicella pacifica
GCF_009671245.1	Marinicella rhabdoformis
GCF_002000055.1	Marinicella sediminis
GCF_045862395.1	Marinicellulosiphila megalodicopiae
GCF_042658665.1	Marinicrinis lubricantis
GCF_042685085.1	Marinicrinis sediminis
GCF_013328345.1	Marinifaba aquimaris
GCF_003202155.1	Marinifilum breve
GCF_013141825.1	Marinifilum caeruleilacunae
GCF_003610555.1	Marinifilum flexuosum
GCF_963677365.1	Marinifilum fragile
GCF_042676825.1	Mariniflexile aquimaris
GCF_004341235.1	Mariniflexile fucanivorans
GCF_017814435.1	Mariniflexile gromovii
GCF_042675665.1	Mariniflexile jejuense
GCF_031128465.2	Mariniflexile litorale
GCF_009746565.1	Mariniflexile maritimum
GCF_042427585.1	Mariniflexile ostreae
GCF_039650365.1	Mariniflexile soesokkakense
GCF_012926615.1	Marinigracilibium pacificum
GCF_008725655.1	Marinihelvus fidelis
GCF_003121985.1	Marinilabilia rubra
GCF_000259075.1	Marinilabilia salmonicolor JCM 21150
GCF_017599325.1	Marinilactibacillus kalidii
GCF_900114235.1	Marinilactibacillus piezotolerans
GCF_007989385.1	Marinilactibacillus psychrotolerans
GCF_020149935.1	Marinilongibacter aquaticus
GCF_000423345.1	Marinimicrobium agarilyticum DSM 16975
GCF_003259155.1	Marinimicrobium alkaliphilum
GCF_003762925.1	Marinimicrobium koreense
GCF_039822625.1	Marinimicrobium locisalis
GCF_029211145.1	Marinimicrococcus flavescens
GCF_900116235.1	Marininema halotolerans
GCF_900106775.1	Marininema mesophilum
GCF_900129025.1	Mariniphaga anaerophila
GCF_003573545.1	Mariniphaga sediminis
GCF_016865445.1	Mariniplasma anaerobium
GCF_000330725.2	Mariniradius saccharolyticus AK6
GCF_021491425.1	Mariniradius sediminis
GCF_003353425.1	Marinirhabdus gelatinilytica
GCF_004345705.1	Marinisporobacter balticus
GCF_003336425.1	Marinitenerispora sediminis
GCF_014641195.1	Marinithermofilum abyssi
GCF_000195335.1	Marinithermus hydrothermalis DSM 14884
GCF_029910535.1	Marinitoga aeolica
GCF_900129175.1	Marinitoga hydrogenitolerans DSM 16785
GCF_004135675.1	Marinitoga lauensis
GCF_016908145.1	Marinitoga litoralis
GCF_000255135.1	Marinitoga piezophila KA3
GCF_018972165.1	Marinobacter adhaerens
GCF_030238305.1	Marinobacter albus
GCF_005871205.1	Marinobacter alexandrii
GCF_000170835.1	Marinobacter algicola DG893
GCF_038784545.1	Marinobacter alkaliphilus
GCF_900142385.1	Marinobacter antarcticus
GCF_030297175.1	Marinobacter apostichopi
GCF_019264345.1	Marinobacter arenosus
GCF_002806975.1	Marinobacter aromaticivorans
GCF_030250645.1	Marinobacter azerbaijanicus
GCF_003258515.1	Marinobacter bohaiensis
GCF_023156245.1	Marinobacter bryozoorum
GCF_011074955.1	Marinobacter caseinilyticus
GCF_009193265.1	Marinobacter changyiensis
GCF_008795935.1	Marinobacter confluentis
GCF_000421165.1	Marinobacter daepoensis DSM 16072
GCF_012070355.1	Marinobacter daqiaonensis
GCF_008795955.1	Marinobacter denitrificans
GCF_045057155.1	Marinobacter flavimaris
GCF_008122265.1	Marinobacter fonticola
GCF_003007675.1	Marinobacter fuscus
GCF_000372805.1	Marinobacter gelidimuriae
GCF_023156235.1	Marinobacter goseongensis
GCF_900115175.1	Marinobacter gudaonensis
GCF_002744735.1	Marinobacter guineae
GCF_004327985.1	Marinobacter halodurans
GCF_003007685.1	Marinobacter halophilus
GCF_008795985.1	Marinobacter halotolerans
GCF_029207565.1	Marinobacter iranensis
GCF_023156285.1	Marinobacter koreensis
GCF_042651045.1	Marinobacter lacisalsi
GCF_000397065.2	Marinobacter lipolyticus SM19
GCF_003336705.1	Marinobacter litoralis
GCF_001981305.1	Marinobacter lutaoensis
GCF_016798325.1	Marinobacter mangrovi
GCF_007671675.1	Marinobacter maritimus
GCF_002933275.1	Marinobacter maroccanus
GCF_038098645.1	Marinobacter metalliresistant
GCF_900106945.1	Marinobacter mobilis
GCF_000364845.1	Marinobacter nanhaiticus D15-8W
GCF_000284615.1	Marinobacter nauticus ATCC 49840
GCF_000708045.1	Marinobacter nitratireducens
GCF_004792665.1	Marinobacter orientalis
GCF_014201735.1	Marinobacter oulmenensis
GCF_005298175.1	Marinobacter panjinensis
GCF_900114925.1	Marinobacter pelagius
GCF_900114155.1	Marinobacter persicus
GCF_007671655.1	Marinobacter piscensis
GCF_002744715.1	Marinobacter profundi
GCF_001043175.1	Marinobacter psychrophilus
GCF_034555935.1	Marinobacter qingdaonensis
GCF_002116735.1	Marinobacter salarius
GCF_002806945.1	Marinobacter salexigens
GCF_011074795.1	Marinobacter salicampi
GCF_008370345.1	Marinobacter salinexigens
GCF_017301335.1	Marinobacter salinisoli
GCF_001854125.1	Marinobacter salinus
GCF_009617755.1	Marinobacter salsuginis
GCF_000347775.1	Marinobacter santoriniensis NKSG1
GCF_031157525.1	Marinobacter sediminicola
GCF_016820575.1	Marinobacter sediminum
GCF_900111555.1	Marinobacter segnicrescens
GCF_030297115.1	Marinobacter shengliensis
GCF_000830985.1	Marinobacter similis
GCF_030519635.1	Marinobacter suaedae
GCF_001045555.1	Marinobacter subterrani
GCF_002258215.1	Marinobacter vinifirmus
GCF_007559285.1	Marinobacter vulgaris
GCF_039537755.1	Marinobacter xestospongiae
GCF_031631795.1	Marinobacter xiaoshiensis
GCF_014651935.1	Marinobacter zhanjiangensis
GCF_900114775.1	Marinobacter zhejiangensis
GCF_001651805.1	Marinobacterium aestuarii
GCF_042661465.1	Marinobacterium aestuariivivens
GCF_017776525.1	Marinobacterium alkalitolerans
GCF_019795155.1	Marinobacterium arenosum
GCF_003014615.1	Marinobacterium halophilum
GCF_017310015.1	Marinobacterium iners
GCF_000620085.1	Marinobacterium jannaschii DSM 6295
GCF_000705555.1	Marinobacterium lacunae
GCF_000428985.1	Marinobacterium litorale DSM 23545
GCF_900108065.1	Marinobacterium lutimaris
GCF_004339595.1	Marinobacterium mangrovicola
GCF_013868415.1	Marinobacterium marinum
GCF_039523155.1	Marinobacterium maritimum
GCF_014645375.1	Marinobacterium nitratireducens
GCF_001528745.1	Marinobacterium profundum
GCF_019084545.1	Marinobacterium ramblicola
GCF_000378045.1	Marinobacterium rhizophilum DSM 18822
GCF_024267675.1	Marinobacterium sedimentorum
GCF_039523255.1	Marinobacterium sediminicola
GCF_900155945.1	Marinobacterium stanieri
GCF_019061305.1	Marinobacterium weihaiense
GCF_014641945.1	Marinobacterium zhoushanense
GCF_900166605.1	Marinococcus halophilus
GCF_000420725.1	Marinococcus halotolerans DSM 16375
