GCF_003026215.1	Photobacterium indicum
GCF_050337005.1	Photobacterium japonica
GCF_003025495.1	Photobacterium jeanii
GCF_050337045.1	Photobacterium kagoshimensis
GCF_050336885.1	Photobacterium kasasachensis
GCF_000613045.3	Photobacterium kishitanii
GCF_048537465.1	Photobacterium leiognathi subsp. mandapamensis
GCF_003026475.1	Photobacterium lipolyticum
GCF_009873615.1	Photobacterium lucens
GCF_003025555.1	Photobacterium lutimaris
GCF_050336715.1	Photobacterium makurazakiensis
GCF_900185615.1	Photobacterium malacitanum
GCF_000331515.1	Photobacterium marinum
GCF_050336695.1	Photobacterium minamisatsumaniensis
GCF_050336815.1	Photobacterium nomapromontoriensis
GCF_026191635.1	Photobacterium obscurum
GCF_024357955.1	Photobacterium pectinilyticum
GCF_002954725.1	Photobacterium phosphoreum
GCF_046058925.1	Photobacterium piscicola
GCF_000153425.1	Photobacterium profundum 3TCK
GCF_001939735.1	Photobacterium proteolyticum
GCF_003026455.1	Photobacterium rosenbergii
GCF_050337085.1	Photobacterium sagamiensis
GCF_003614885.1	Photobacterium salinisoli
GCF_003026495.1	Photobacterium sanctipauli
GCF_024346675.1	Photobacterium sanguinicancri
GCF_050336935.1	Photobacterium satsumensis
GCF_024346715.1	Photobacterium swingsii
GCF_024529955.1	Photobacterium toruni
GCF_026153155.1	Photorhabdus aballayi
GCF_000612035.1	Photorhabdus aegyptia
GCF_035181445.1	Photorhabdus africana
GCF_019090985.1	Photorhabdus akhurstii
GCF_020387775.1	Photorhabdus antumapuensis
GCF_000196475.1	Photorhabdus asymbiotica
GCF_000711895.1	Photorhabdus australis DSM 17609
GCF_003287735.1	Photorhabdus bodei
GCF_018448885.1	Photorhabdus caribbeanensis
GCF_011189575.1	Photorhabdus cinerea
GCF_018448965.1	Photorhabdus hainanensis
GCF_001280945.1	Photorhabdus heterorhabditis
GCF_002968995.1	Photorhabdus hindustanensis
GCF_025384895.1	Photorhabdus kayaii
GCF_000517265.1	Photorhabdus khanii NC19
GCF_025384885.1	Photorhabdus kleinii
GCF_003343245.1	Photorhabdus laumondii subsp. laumondii
GCF_001083805.1	Photorhabdus luminescens subsp. luminescens
GCF_001684335.1	Photorhabdus namnaonensis
GCF_023108895.1	Photorhabdus noenieputensis
GCF_011189495.1	Photorhabdus stackebrandtii
GCF_011189505.1	Photorhabdus tasmaniensis
GCF_025384845.1	Photorhabdus temperata
GCF_001010285.1	Photorhabdus thracensis
GCF_040256935.1	Photorhabdus viridis
GCF_015500095.1	Phototrophicus methaneseepsis
GCF_005780165.1	Phragmitibacter flavus
GCF_005160265.1	Phreatobacter aquaticus
GCF_003008515.1	Phreatobacter cathodiphilus
GCF_003046185.1	Phreatobacter oligotrophus
GCF_005144885.1	Phreatobacter stygius
GCF_018139485.1	Phycicoccus avicenniae
GCF_002846495.1	Phycicoccus duodecadis
GCF_000367525.1	Phycicoccus elongatus Lp2
