GCF_900091515.1	Micromonospora purpureochromogenes
GCF_016863555.1	Micromonospora qiuiae
GCF_003583405.1	Micromonospora radicis
GCF_031845925.1	Micromonospora reichwaldensis
GCF_900091465.1	Micromonospora rhizosphaerae
GCF_900090265.1	Micromonospora rifamycinica
GCF_013694245.2	Micromonospora robiginosa
GCF_001567585.1	Micromonospora rosaria
GCF_009908295.1	Micromonospora rubida
GCF_900091575.1	Micromonospora saelicesensis
GCF_014680085.1	Micromonospora sagamiensis
GCF_022230905.1	Micromonospora salmantinae
GCF_039566955.1	Micromonospora schwarzwaldensis
GCF_900089585.1	Micromonospora sediminicola
GCF_016863575.1	Micromonospora sediminimaris
GCF_900090305.1	Micromonospora siamensis
GCF_034427515.1	Micromonospora sicca
GCF_052907465.1	Micromonospora soli
GCF_003725545.1	Micromonospora solifontis
GCF_014646235.1	Micromonospora sonchi
GCF_042679305.1	Micromonospora sonneratiae
GCF_019697375.1	Micromonospora tarapacensis
GCF_007830095.1	Micromonospora taraxaci
GCF_016803395.1	Micromonospora tarensis
GCF_009671205.1	Micromonospora terminaliae
GCF_012034245.1	Micromonospora thermarum
GCF_050516465.1	Micromonospora trifolii
GCF_900091605.1	Micromonospora tulbaghiae
GCF_015751765.1	Micromonospora ureilytica
GCF_015751785.1	Micromonospora vinacea
GCF_004217135.1	Micromonospora violae
GCF_900091545.1	Micromonospora viridifaciens
GCF_042658605.1	Micromonospora vulcania
GCF_002210435.1	Micromonospora wenchangensis
GCF_900091615.1	Micromonospora yangpuensis
GCF_026013475.1	Micromonospora yasonensis
GCF_900090275.1	Micromonospora zamorensis
GCF_042650605.1	Micromonospora zhanjiangensis
GCF_004331455.1	Micromonospora zingiberis
GCF_900289045.1	Micropruina glycogenica
GCF_025972045.1	Micropruina sonneratiae
GCF_000169175.1	Microscilla marina ATCC 23134
GCF_020521235.1	Microseira wollei NIES-4236
GCF_004217495.1	Microterricola gilva
GCF_002936985.1	Microterricola pindariensis
GCF_900104895.1	Microterricola viridarii
GCF_001570365.1	Microtetraspora fusca
GCF_040656155.1	Microtetraspora glauca
