GCF_000429345.1	Desulfovirgula thermocuniculi DSM 16036
GCF_018704065.1	Desulfovulcanus ferrireducens
GCF_002119425.1	Desulfurella amilsii
GCF_900101285.1	Desulfurella multipotens
GCF_001730225.1	Desulfuribacillus alkaliarsenatis
GCF_001742305.1	Desulfuribacillus stibiiarsenatis
GCF_014203025.1	Desulfurispira natronophila
GCF_000177635.2	Desulfurispirillum indicum S5
GCF_000376385.1	Desulfurispora thermophila DSM 16022
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2
GCF_029210385.1	Desulfurivibrio dismutans
GCF_900188395.1	Desulfurobacterium atlanticum
GCF_054656775.1	Desulfurobacterium crinifex
GCF_001968985.1	Desulfurobacterium indicum
GCF_900182835.1	Desulfurobacterium pacificum
GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699
GCF_000167355.1	Desulfuromonas acetoxidans DSM 684
GCF_054658035.1	Desulfuromonas carbonis
GCF_001278055.1	Desulfuromonas soudanensis
GCF_963662975.1	Desulfuromonas thiophila
GCF_019704135.1	Desulfuromonas versatilis
GCF_900107645.1	Desulfuromusa kysingii
GCF_000174415.1	Dethiobacter alkaliphilus AHT 1
GCF_000931935.2	Dethiosulfatarculus sandiegensis
GCF_900142005.1	Dethiosulfatibacter aminovorans DSM 17477
GCF_021568805.1	Dethiosulfovibrio acidaminovorans
GCF_021568795.1	Dethiosulfovibrio faecalis
GCF_021568875.1	Dethiosulfovibrio marinus
GCF_000172975.1	Dethiosulfovibrio peptidovorans DSM 11002
GCF_021568855.1	Dethiosulfovibrio russensis
GCF_900177735.1	Dethiosulfovibrio salsuginis
GCF_037577855.1	Dethiothermospora halolimnae
GCF_039938915.1	Devosia alba
GCF_042685625.1	Devosia albogilva
GCF_028816455.1	Devosia algicola
GCF_020169335.1	Devosia aquimaris
GCF_011058215.1	Devosia aurantiaca
GCF_014926585.1	Devosia beringensis
GCF_000969445.1	Devosia chinhatensis
GCF_900116545.1	Devosia crocina
GCF_001650025.1	Devosia elaeis
GCF_900119845.1	Devosia enhydra
GCF_000971295.1	Devosia epidermidihirudinis
GCF_900631955.1	Devosia equisanguinis
GCF_015158295.1	Devosia faecipullorum
GCF_000969415.1	Devosia geojensis
GCF_007859655.1	Devosia ginsengisoli
GCF_042648785.1	Devosia honganensis
GCF_003056405.1	Devosia indica
GCF_000970465.2	Devosia insulae DS-56
GCF_022429625.1	Devosia lacusdianchii
GCF_900128975.1	Devosia limi DSM 17137
GCF_018334155.1	Devosia litorisediminis
GCF_900177655.1	Devosia lucknowensis
GCF_009758415.1	Devosia marina
GCF_003056355.1	Devosia naphthalenivorans
GCF_025452235.1	Devosia neptuniae
GCF_030160115.1	Devosia nitrariae
GCF_016698645.1	Devosia oryziradicis
GCF_014837245.1	Devosia oryzisoli
GCF_014652635.1	Devosia pacifica
GCF_042181575.1	Devosia polycyclovorans
GCF_900112505.1	Devosia psychrophila
GCF_016698665.1	Devosia rhizoryzae
GCF_030177755.1	Devosia rhizosphaerae
GCF_028816475.1	Devosia rhodophyticola
GCF_000743575.1	Devosia riboflavina
GCF_019504385.1	Devosia salina
GCF_016411825.1	Devosia sediminis
GCF_000970455.1	Devosia soli
GCF_014197055.1	Devosia subaequoris
GCF_003056345.1	Devosia submarina
GCF_024273205.1	Devosia ureilytica
GCF_030159855.1	Devosia yakushimensis
GCF_900070355.1	Devriesea agamarum
GCF_900103425.1	Dialister histaminiformans
GCF_007164725.1	Dialister hominis
GCF_000160055.1	Dialister invisus DSM 15470
GCF_947090205.1	Dialister micraerophilus
GCF_003570845.1	Dialister pneumosintes
GCF_928721695.1	Dialister succinatiphilus
GCF_002797715.1	Diaminobutyricimonas aerilata
GCF_014489535.1	Diaphorobacter aerolatus
GCF_015354245.1	Diaphorobacter caeni
GCF_033100095.1	Diaphorobacter limosus
GCF_002214645.1	Diaphorobacter nitroreducens
GCF_014395975.1	Diaphorobacter ruginosibacter
GCF_000015345.1	Dichelobacter nodosus VCS1703A
GCF_003550175.1	Dichotomicrobium thermohalophilum
GCF_019464615.1	Dickeya ananatis
GCF_900095885.1	Dickeya aquatica
GCF_000023565.1	Dickeya chrysanthemi Ech1591
GCF_003049785.1	Dickeya dadantii
GCF_003403135.1	Dickeya dianthicola
GCF_002812485.1	Dickeya fangzhongdai
GCF_003934295.1	Dickeya lacustris
GCF_020406815.2	Dickeya oryzae
GCF_000025065.1	Dickeya parazeae Ech586
GCF_007858975.2	Dickeya poaceiphila
GCF_001644705.1	Dickeya solani IPO 2222
GCF_000784735.1	Dickeya undicola
GCF_002887555.1	Dickeya zeae
GCF_003967575.1	Dictyobacter alpinus
GCF_008326305.1	Dictyobacter arantiisoli
GCF_003967515.1	Dictyobacter aurantiacus
GCF_016587435.1	Dictyobacter formicarum
GCF_036245075.1	Dictyobacter halimunensis
GCF_003967555.1	Dictyobacter kobayashii
GCF_008974265.1	Dictyobacter vulcani
GCF_000020965.1	Dictyoglomus thermophilum H-6-12
GCF_000021645.1	Dictyoglomus turgidum DSM 6724
GCF_003475485.1	Dielma fastidiosa
GCF_042685785.1	Dietzia aerolata
GCF_000226215.1	Dietzia alimentaria 72
GCF_021033825.1	Dietzia aurantiaca
GCF_039531545.1	Dietzia cercidiphylli
