GCF_020733705.1	Nocardia australiensis
GCF_013315795.1	Nocardia barduliensis
GCF_001612785.1	Nocardia beijingensis NBRC 16342
GCF_006716565.1	Nocardia bhagyanarayanae
GCF_015477355.1	Nocardia blacklockiae
GCF_015674855.1	Nocardia bovistercoris
GCF_002209125.2	Nocardia brasiliensis
GCF_000308495.1	Nocardia brevicatena NBRC 12119
GCF_009858255.1	Nocardia caishijiensis
GCF_039543305.1	Nocardia callitridis
GCF_014646135.1	Nocardia camponoti
GCF_032656385.1	Nocardia canadensis
GCF_000308515.1	Nocardia carnea NBRC 14403
GCF_012396065.1	Nocardia cerradoensis
GCF_019890715.1	Nocardia coffeae
GCF_008704205.1	Nocardia colli
GCF_000308815.1	Nocardia concava NBRC 100430
GCF_001612805.1	Nocardia coubleae NBRC 108252
GCF_001613405.1	Nocardia crassostreae
GCF_002949635.1	Nocardia cyriacigeorgica
GCF_002081715.1	Nocardia donostiensis
GCF_001612845.1	Nocardia elegans NBRC 108235
GCF_000308575.1	Nocardia exalbida NBRC 100660
GCF_000009805.1	Nocardia farcinica IFM 10152
GCF_001613385.1	Nocardia flavorosea NBRC 108225
GCF_040639395.1	Nocardia fluminea
GCF_001618425.1	Nocardia fusca NBRC 14340
GCF_001612985.1	Nocardia gamkensis NBRC 108242
GCF_021183645.1	Nocardia gipuzkoensis
GCF_017875645.1	Nocardia goodfellowii
GCF_050942415.1	Nocardia grenadensis
GCF_042650145.1	Nocardia halotolerans
GCF_001612885.1	Nocardia harenae NBRC 108248
GCF_054782115.1	Nocardia heshunensis
GCF_000308595.1	Nocardia higoensis NBRC 100133
GCF_013744875.1	Nocardia huaxiensis
GCF_004362495.1	Nocardia ignorata
GCF_035544775.1	Nocardia implantans
GCF_001612945.1	Nocardia inohanensis NBRC 100128
GCF_019222765.1	Nocardia iowensis
GCF_001613145.1	Nocardia jejuensis NBRC 103114
GCF_042650385.1	Nocardia jiangsuensis
GCF_000308615.1	Nocardia jiangxiensis NBRC 101359
GCF_014645735.1	Nocardia jinanensis
GCF_001612965.1	Nocardia kruczakiae NBRC 101016
GCF_042658545.1	Nocardia lasii
GCF_001613045.1	Nocardia lijiangensis NBRC 108240
GCF_009604405.1	Nocardia macrotermitis
GCF_001886715.1	Nocardia mangyaensis
GCF_003350525.1	Nocardia mexicana
GCF_001613505.1	Nocardia mikamii NBRC 108933
GCF_001613065.1	Nocardia miyunensis NBRC 108239
GCF_003182135.1	Nocardia neocaledoniensis
GCF_048910785.1	Nocardia nepalensis
GCF_000308655.1	Nocardia niigatensis NBRC 100131
GCF_007990755.1	Nocardia ninae NBRC 108245
GCF_001613465.1	Nocardia niwae NBRC 108934 = DSM 45340
GCF_019038455.1	Nocardia noduli
GCF_019219615.1	Nocardia nova
GCF_007362295.1	Nocardia otitidiscaviarum
GCF_003598715.1	Nocardia panacis
GCF_000308675.1	Nocardia paucivorans NBRC 100373
GCF_000308755.1	Nocardia pneumoniae NBRC 100136
GCF_003350585.1	Nocardia pseudobrasiliensis
GCF_050942345.1	Nocardia pseudovaccinii
GCF_023740755.1	Nocardia pulmonis
GCF_036051655.1	Nocardia puris
GCF_001613485.1	Nocardia rhamnosiphila NBRC 108938
GCF_042650365.1	Nocardia rhizosphaerae
GCF_014646295.1	Nocardia rhizosphaerihabitans
GCF_020216065.1	Nocardia rosealba
GCF_036142455.1	Nocardia salmonicida
GCF_039532585.1	Nocardia seriolae
GCF_001613125.1	Nocardia shimofusensis NBRC 100134
GCF_047200615.1	Nocardia sichangensis
GCF_001613205.1	Nocardia sienata NBRC 100364
GCF_012395985.1	Nocardia speluncae
GCF_020733635.1	Nocardia spumae
GCF_023501985.1	Nocardia sputi
GCF_027924405.1	Nocardia sputorum
GCF_003696265.1	Nocardia stercoris
GCF_900269665.1	Nocardia suismassiliense
GCF_000308695.1	Nocardia takedensis NBRC 100417
GCF_003202065.1	Nocardia tenerifensis
GCF_042753685.1	Nocardia tengchongensis
GCF_002568625.1	Nocardia terpenica
GCF_009760405.1	Nocardia terrae
GCF_000308775.1	Nocardia testacea NBRC 100365
GCF_000308795.1	Nocardia thailandica NBRC 100428
GCF_054782435.1	Nocardia thraciensis
GCF_014203315.1	Nocardia transvalensis
GCF_001613345.1	Nocardia uniformis NBRC 13702
GCF_001613305.1	Nocardia vaccinii NBRC 15922
GCF_001613265.1	Nocardia vermiculata NBRC 100427
GCF_000308855.1	Nocardia veterana NBRC 100344
GCF_040681085.1	Nocardia vinacea
GCF_001613425.1	Nocardia vulneris
GCF_014466955.1	Nocardia wallacei
GCF_001613365.1	Nocardia xishanensis NBRC 101358
GCF_021183565.1	Nocardia yamanashiensis
GCF_003626895.1	Nocardia yunnanensis
GCF_030412915.1	Nocardioides abyssi
GCF_015319165.1	Nocardioides acrostichi
GCF_000720335.1	Nocardioides aequoreus
GCF_039527245.1	Nocardioides aestuarii
GCF_015352445.1	Nocardioides agariphilus
GCF_009758195.1	Nocardioides agri
GCF_006716315.1	Nocardioides albertanoniae
GCF_006335005.1	Nocardioides albidus
GCF_014648255.1	Nocardioides albus
GCF_021555175.1	Nocardioides alcanivorans
GCF_000426525.1	Nocardioides alkalitolerans DSM 16699
GCF_003047285.1	Nocardioides allogilvus
GCF_900112035.1	Nocardioides alpinus
GCF_011046535.1	Nocardioides anomalus
GCF_008373765.1	Nocardioides antri
GCF_018459925.1	Nocardioides aquaticus
GCF_039526625.1	Nocardioides aquiterrae
GCF_013408525.1	Nocardioides aromaticivorans
GCF_024436375.1	Nocardioides astragali
GCF_003752505.1	Nocardioides aurantiacus
GCF_016735675.1	Nocardioides baculatus
GCF_003945325.1	Nocardioides baekrokdamisoli
GCF_039531755.1	Nocardioides bigeumensis
GCF_034661235.1	Nocardioides bizhenqiangii
GCF_023554635.1	Nocardioides bruguierae
GCF_042676665.1	Nocardioides caeni
GCF_008087345.1	Nocardioides caldifontis
GCF_013624435.2	Nocardioides campestrisoli
GCF_024614185.1	Nocardioides carbamazepini
GCF_039541135.1	Nocardioides caricicola
GCF_016907475.1	Nocardioides cavernae
GCF_003600895.1	Nocardioides cavernaquae
GCF_040049175.1	Nocardioides cheoyonin
GCF_011090295.1	Nocardioides convexus
GCF_039543825.1	Nocardioides conyzicola
GCF_019880385.1	Nocardioides coralli
GCF_030518195.1	Nocardioides cremeus
GCF_003057875.1	Nocardioides currus
GCF_008761635.1	Nocardioides cynanchi
GCF_013408415.1	Nocardioides daedukensis
GCF_039537735.1	Nocardioides daeguensis
GCF_003194585.1	Nocardioides daejeonensis
GCF_014635145.1	Nocardioides daphniae
GCF_014646035.1	Nocardioides deserti
GCF_054779555.1	Nocardioides dilutus
GCF_001653335.1	Nocardioides dokdonensis FR1436
GCF_014842875.1	Nocardioides donggukensis
GCF_014127485.1	Nocardioides dongkuii
GCF_005250675.1	Nocardioides dongxiaopingii
GCF_039528155.1	Nocardioides dubius
GCF_004785795.1	Nocardioides eburneiflavus
GCF_040838215.1	Nocardioides eburneus
GCF_039543845.1	Nocardioides endophyticus
GCF_037936805.1	Nocardioides epinepheli
GCF_004564375.1	Nocardioides euryhalodurans
GCF_900105585.1	Nocardioides exalbidus
GCF_018388425.1	Nocardioides faecalis
GCF_003660455.1	Nocardioides ferulae
GCF_009823805.1	Nocardioides flavescens
GCF_014653115.1	Nocardioides flavus (ex Wang et al. 2016)
GCF_039536805.1	Nocardioides fonticola
GCF_021083185.1	Nocardioides furvisabuli
GCF_004137235.1	Nocardioides ganghwensis
GCF_003076135.1	Nocardioides gansuensis
GCF_003194605.1	Nocardioides gilvus
