GCF_030845115.1	Labilibaculum euxinus
GCF_002843315.1	Labilibaculum filiforme
GCF_963665805.2	Labilibaculum manganireducens
GCF_001263205.1	Labilithrix luteola
GCF_030160835.1	Labrys miyagiensis
GCF_030814655.1	Labrys monachus
GCF_040797145.1	Labrys neptuniae
GCF_047345005.1	Labrys okinawensis
GCF_034424805.1	Labrys sedimenti
GCF_030814995.1	Labrys wisconsinensis
GCF_042665195.1	Laceyella putida
GCF_024927925.1	Laceyella sacchari
GCF_003003125.1	Laceyella sediminis
GCF_900182735.1	Laceyella tengchongensis
GCF_003862475.1	Lachnoanaerobaculum gingivalis
GCF_003862485.1	Lachnoanaerobaculum orale
GCF_000185385.1	Lachnoanaerobaculum saburreum DSM 3986
GCF_033242365.1	Lachnoanaerobaculum sanguinis
GCF_003589745.1	Lachnoanaerobaculum umeaense
GCF_900107245.1	Lachnobacterium bovis DSM 14045
GCF_900240245.1	Lachnoclostridium edouardi
GCF_000018685.1	Lachnoclostridium phytofermentans ISDg
GCF_000146185.1	Lachnospira eligens ATCC 27750
GCF_040095895.1	Lachnospira intestinalis
GCF_000424105.1	Lachnospira multipara ATCC 19207
GCF_900103815.1	Lachnospira pectinoschiza
GCF_003201285.1	Lachnotalea glycerini
GCF_007830055.1	Lacibacter cauensis
GCF_004118265.1	Lacibacter luteus
GCF_014168535.1	Lacibacter sediminis
GCF_042683105.1	Lacibacterium aquatile
GCF_900142805.1	Lacicoccus alkaliphilus DSM 16010
GCF_900101075.1	Lacicoccus qingdaonensis
GCF_042649125.1	Lacihabitans lacunae
GCF_024343775.1	Lacihabitans soyangensis
GCF_002591895.1	Lacimicrobium alkaliphilum
GCF_042677865.1	Lacimonas salitolerans
GCF_001418085.1	Lacinutrix algicola
GCF_042684485.1	Lacinutrix gracilariae
GCF_001418105.1	Lacinutrix himadriensis
GCF_042686125.1	Lacinutrix iliipiscaria
GCF_000797445.1	Lacinutrix jangbogonensis
GCF_001418015.1	Lacinutrix mariniflava
GCF_026625145.1	Lacinutrix neustonica
GCF_001971745.1	Lacinutrix venerupis
GCF_007746075.1	Lacipirellula limnantheis
GCF_009177095.1	Lacipirellula parvula
GCF_016634425.1	Lacisediminihabitans changchengi
GCF_008040105.1	Lacisediminihabitans profunda
GCF_008831265.1	Lacisediminimonas profundi
GCF_003609635.1	Lacrimispora algidixylanolytica
GCF_003432035.1	Lacrimispora amygdalina
GCF_013036995.1	Lacrimispora defluvii
GCF_000526995.1	Lacrimispora indolis DSM 755
GCF_043633585.1	Lacrimispora sinapis
GCF_900461315.1	Lacrimispora sphenoides
GCF_002934545.1	Lacrimispora xylanisolvens
GCF_026723765.1	Lacrimispora xylanolytica
GCF_013407595.1	Lacticaseibacillus absianus
GCF_003946165.1	Lacticaseibacillus baoqingensis
GCF_001436115.1	Lacticaseibacillus brantae DSM 23927
GCF_001436615.1	Lacticaseibacillus camelliae DSM 22697 = JCM 13995
GCF_000829055.1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393
GCF_018363075.1	Lacticaseibacillus chiayiensis
GCF_003946115.1	Lacticaseibacillus daqingensis
GCF_003946465.1	Lacticaseibacillus hegangensis
GCF_029726355.1	Lacticaseibacillus huelsenbergensis
GCF_004010095.1	Lacticaseibacillus hulanensis
GCF_003946485.1	Lacticaseibacillus jixianensis
GCF_042847315.1	Lacticaseibacillus jixiensis
GCF_020180945.1	Lacticaseibacillus kribbianus
GCF_009184845.1	Lacticaseibacillus manihotivorans
GCF_016861785.1	Lacticaseibacillus mingshuiensis
GCF_001434705.1	Lacticaseibacillus nasuensis JCM 17158
GCF_028736235.1	Lacticaseibacillus pabuli
GCF_001591865.1	Lacticaseibacillus pantheris DSM 15945 = JCM 12539 = NBRC 106106
GCF_000155515.2	Lacticaseibacillus paracasei subsp. paracasei 8700:2
GCF_030770265.1	Lacticaseibacillus parahuelsenbergensis
GCF_025490915.1	Lacticaseibacillus parakribbianus
GCF_003946305.1	Lacticaseibacillus porcinae
GCF_006151905.1	Lacticaseibacillus rhamnosus
GCF_045862175.1	Lacticaseibacillus salsurae
GCF_036246225.1	Lacticaseibacillus salsurivasis
GCF_001437465.1	Lacticaseibacillus saniviri JCM 17471 = DSM 24301
GCF_001436225.1	Lacticaseibacillus sharpeae JCM 1186 = DSM 20505
GCF_003946025.1	Lacticaseibacillus songhuajiangensis
GCF_030770295.1	Lacticaseibacillus styriensis
GCF_003946175.1	Lacticaseibacillus suibinensis
GCF_016861845.1	Lacticaseibacillus suilingensis
GCF_001436135.1	Lacticaseibacillus thailandensis DSM 22698 = JCM 13996
GCF_003946405.1	Lacticaseibacillus yichunensis
GCF_030770335.1	Lacticaseibacillus zeae subsp. silagei
GCF_009687905.1	Lacticaseibacillus zhaodongensis
GCF_000425865.1	Lacticigenium naphthae DSM 19658
GCF_900343155.1	Lactimicrobium massiliense
GCF_037290055.1	Lactiplantibacillus argentoratensis
GCF_045862825.1	Lactiplantibacillus brownii
GCF_947539765.1	Lactiplantibacillus carotarum
GCF_005405005.1	Lactiplantibacillus daoliensis
GCF_042659405.1	Lactiplantibacillus daowaiensis
GCF_005405105.1	Lactiplantibacillus dongliensis
GCF_000498955.2	Lactiplantibacillus fabifermentans DSM 21115
GCF_003885105.1	Lactiplantibacillus garii
GCF_001039045.1	Lactiplantibacillus herbarum
GCF_005405425.1	Lactiplantibacillus modestisalitolerans
GCF_005405385.1	Lactiplantibacillus mudanjiangensis
GCF_005405065.1	Lactiplantibacillus nangangensis
GCF_029025825.1	Lactiplantibacillus paraplantarum
GCF_036246185.1	Lactiplantibacillus paraxiangfangensis
GCF_003641185.1	Lactiplantibacillus pentosus
GCF_005404945.1	Lactiplantibacillus pingfangensis
GCF_005405405.1	Lactiplantibacillus plajomi
GCF_009913655.1	Lactiplantibacillus plantarum
GCF_005405125.1	Lactiplantibacillus songbeiensis
GCF_963243495.1	Lactiplantibacillus xiangfangensis
GCF_008831485.1	Lactobacillus acetotolerans
GCF_034298135.1	Lactobacillus acidophilus
GCF_943193025.1	Lactobacillus agrestimuris
GCF_003999355.1	Lactobacillus amylolyticus
GCF_000194115.1	Lactobacillus amylovorus GRL1118
GCF_003150935.1	Lactobacillus apis
GCF_002916915.1	Lactobacillus bombicola
GCF_017874575.1	Lactobacillus colini
GCF_018327645.1	Lactobacillus corticis
GCF_009769205.1	Lactobacillus crispatus
GCF_001888925.1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046
GCF_001434815.1	Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162
GCF_002160635.1	Lactobacillus gallinarum
GCF_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131
GCF_001436575.1	Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85
GCF_001434515.1	Lactobacillus hamsteri DSM 5661 = JCM 6256
GCF_003173695.1	Lactobacillus helsingborgensis
GCF_046109915.1	Lactobacillus helveticus
GCF_000296835.1	Lactobacillus hominis DSM 23910 = CRBIP 24.179
GCF_019972815.1	Lactobacillus huangpiensis
GCF_011058775.1	Lactobacillus iners
GCF_024397795.1	Lactobacillus intestinalis
GCF_947539375.1	Lactobacillus isalae
GCF_001936235.1	Lactobacillus jensenii
GCF_014058685.1	Lactobacillus johnsonii
GCF_036246285.1	Lactobacillus juensis
GCF_001434335.1	Lactobacillus kalixensis DSM 16043
GCF_014656585.1	Lactobacillus kefiranofaciens
GCF_000970755.1	Lactobacillus kimbladii
GCF_001434435.1	Lactobacillus kitasatonis DSM 16761 = JCM 1039
GCF_003151025.1	Lactobacillus kullabergensis
GCF_019972835.1	Lactobacillus laiwuensis
GCF_024701915.1	Lactobacillus leichmannii
GCF_042679465.1	Lactobacillus melliventris
GCF_042997415.1	Lactobacillus mulieris
GCF_016587815.1	Lactobacillus nasalidis
GCF_019469265.1	Lactobacillus panisapium
GCF_003584685.1	Lactobacillus paragasseri
GCF_000297025.1	Lactobacillus pasteurii DSM 23907 = CRBIP 24.76
GCF_009695985.1	Lactobacillus porci
GCF_000425905.1	Lactobacillus psittaci DSM 15354
GCF_036246345.1	Lactobacillus rizhaonensis
GCF_024622425.1	Lactobacillus rodentium
GCF_001437205.1	Lactobacillus selangorensis
GCF_017894345.1	Lactobacillus taiwanensis
GCF_002762335.1	Lactobacillus terrae
GCF_016647595.1	Lactobacillus ultunensis
GCF_004009905.1	Lactobacillus xujianguonis
GCF_033096005.1	Lactobacillus xylocopicola
GCF_003627095.1	Lactococcus allomyrinae
GCF_000468955.1	Lactococcus cremoris subsp. cremoris KW2
GCF_037892375.1	Lactococcus formosensis
GCF_002441655.1	Lactococcus fujiensis JCM 16395
GCF_016026695.1	Lactococcus garvieae
GCF_009601015.1	Lactococcus hircilactis
GCF_943193185.1	Lactococcus ileimucosae
GCF_003176835.1	Lactococcus lactis subsp. lactis
GCF_042849115.1	Lactococcus muris
GCF_018403765.1	Lactococcus nasutitermitis
GCF_023499275.1	Lactococcus petauri
GCF_006965445.1	Lactococcus protaetiae
GCF_017068355.1	Lactococcus taiwanensis
GCF_003116835.1	Lactococcus termiticola
GCF_900129135.1	Lactonifactor longoviformis DSM 17459
GCF_014202895.1	Lactovum miscens
GCF_001746835.1	Lacunisphaera limnophila
GCF_025567165.1	Laedolimicola ammoniilytica
GCF_040096155.1	Laedolimicola intestinihominis
GCF_001407835.1	Lagierella massiliensis
GCF_016583905.1	Lamprobacter modestohalophilus
GCF_000379525.1	Lamprocystis purpurea DSM 4197
GCF_004803635.1	Lampropedia aestuarii
GCF_001005215.1	Lampropedia cohaerens
GCF_900129055.1	Lampropedia hyalina DSM 16112
GCF_004833285.1	Lampropedia puyangensis
GCF_000024225.1	Lancefieldella parvula DSM 20469
GCF_000174015.1	Lancefieldella rimae ATCC 49626
